flag,xl,yl,zl,xr,yr,zr,xc,yc,zc,mat_00,mat_10,mat_20,mat_30,mat_01,mat_11,mat_21,mat_31,mat_02,mat_12,mat_22,mat_32,mat_03,mat_13,mat_23,mat_33,ctw_00,ctw_10,ctw_20,ctw_30,ctw_01,ctw_11,ctw_21,ctw_31,ctw_02,ctw_12,ctw_22,ctw_32,ctw_03,ctw_13,ctw_23,ctw_33,opennessl,opennessr,ray_x,ray_y,ray_z,eye_x,eye_y,eye_z,time,frame
0,-6.060053,0.7833684,9.075037,-6.070773,0.7338737,9.22605,-6.070773,0.7643263,9.14361,0.6718931,0.543614,-0.5030343,0,-0.1181919,0.7491739,0.6517432,0,-0.7311569,0.3784472,-0.5676155,0,10.89252,-0.5726275,0.3637955,1,0.6718931,-0.1181919,-0.7311568,0,0.543614,0.7491739,0.3784471,0,-0.5030342,0.6517432,-0.5676154,0,-6.824315,1.479303,8.387343,1,1,1,0.03101104,0.1240028,0.9917971,-0.002711502,-0.002006432,-0.02306464,53.88,2442
0,-5.966443,0.7044001,8.984747,-6.070773,0.7172309,9.096794,-6.011931,0.7044001,9.046172,0.6647031,0.5496784,-0.5059876,0,-0.1256782,0.7498785,0.6495284,0,-0.736461,0.368152,-0.5675291,0,10.89609,-0.4524333,0.3545761,1,0.6647031,-0.1256782,-0.7364609,0,0.5496784,0.7498785,0.3681518,0,-0.5059876,0.6495283,-0.5675291,0,-6.814559,1.478365,8.392339,1,1,1,0.1159883,0.07888882,0.9901128,-0.003421281,-0.002324844,-0.02340491,53.9,2443
0,-5.949169,0.7044001,9.005794,-6.070773,0.7279733,9.096977,-6.03495,0.7397367,9.031405,0.6593268,0.5546188,-0.5076281,0,-0.1324382,0.7502809,0.6477181,0,-0.7401003,0.3598286,-0.568133,0,10.89682,-0.3553712,0.3596749,1,0.6593267,-0.1324382,-0.7401001,0,0.5546187,0.7502809,0.3598284,0,-0.507628,0.647718,-0.5681329,0,-6.804888,1.476816,8.396954,1,1,1,0.1100536,0.08291297,0.9904613,-0.003409669,-0.002503823,-0.02324526,53.92,2444
0,-5.953331,0.7044001,9.027102,-6.070773,0.7234295,9.102837,-6.045262,0.7457268,9.037395,0.6564702,0.5582573,-0.5073418,0,-0.1379548,0.7500569,0.6468254,0,-0.7416303,0.3546314,-0.5694043,0,10.89461,-0.2916205,0.3822227,1,0.6564702,-0.1379548,-0.7416301,0,0.5582573,0.7500569,0.3546313,0,-0.5073417,0.6468254,-0.5694042,0,-6.795269,1.474463,8.400828,1,1,1,0.09955858,0.08060945,0.9917611,-0.003432373,-0.002731361,-0.02313898,53.94,2445
0,-5.947013,0.7389367,9.030605,-6.070773,0.7134846,9.120791,-6.040721,0.7566149,9.048284,0.6560197,0.5594555,-0.5066041,0,-0.1399585,0.749759,0.6467404,0,-0.7416535,0.353371,-0.5701572,0,10.89271,-0.2744489,0.397985,1,0.6560196,-0.1399583,-0.7416534,0,0.5594555,0.749759,0.3533708,0,-0.5066041,0.6467404,-0.5701572,0,-6.790667,1.472903,8.402508,1,1,1,0.0937772,0.09143391,0.9913858,-0.003450035,-0.003104294,-0.02274497,53.96,2446
0,-5.95011,0.7044001,9.025911,-6.070773,0.7309173,9.124395,-6.046667,0.7526134,9.044282,0.6571321,0.5611967,-0.5032251,0,-0.1428108,0.7482074,0.6479126,0,-0.7401232,0.3538982,-0.5718161,0,10.88717,-0.2686338,0.4413335,1,0.6571322,-0.1428108,-0.7401232,0,0.5611967,0.7482074,0.3538982,0,-0.5032252,0.6479127,-0.5718161,0,-6.78146,1.469853,8.405274,1,1,1,0.0939857,0.08548139,0.991897,-0.003495719,-0.003492493,-0.02264075,53.98,2447
0,-5.9758,0.7044001,9.009533,-6.070773,0.7064776,9.128053,-6.060813,0.7436802,9.035349,0.6602421,0.5634735,-0.4965663,0,-0.1439525,0.7438435,0.6526673,0,-0.7371283,0.3594364,-0.5722302,0,10.87993,-0.2974172,0.4904532,1,0.6602421,-0.1439526,-0.7371282,0,0.5634734,0.7438436,0.3594364,0,-0.4965662,0.6526672,-0.5722302,0,-6.772261,1.467324,8.40746,1,1,1,0.09417758,0.07543302,0.9926935,-0.003504449,-0.00347541,-0.02274951,54,2448
0,-5.968593,0.7044001,9.024773,-6.070773,0.6849286,9.138634,-6.068382,0.7455181,9.037187,0.6631158,0.5676578,-0.4878956,0,-0.1454674,0.7371213,0.6599178,0,-0.7342457,0.366629,-0.5713725,0,10.8724,-0.3250101,0.5377638,1,0.6631159,-0.1454675,-0.7342456,0,0.5676578,0.7371213,0.366629,0,-0.4878954,0.6599177,-0.5713724,0,-6.762794,1.466273,8.409435,1,1,1,0.08958357,0.07994258,0.9927658,-0.003509003,-0.003236534,-0.02271054,54.02,2449
0,-5.976377,0.7044001,9.022889,-6.070773,0.6772923,9.125813,-6.06966,0.7403291,9.031998,0.6610418,0.5738525,-0.4834429,0,-0.1491789,0.7319392,0.6648389,0,-0.7353703,0.3673668,-0.5694491,0,10.86816,-0.2893403,0.5499523,1,0.6610418,-0.1491788,-0.7353702,0,0.5738525,0.7319391,0.3673668,0,-0.4834429,0.6648389,-0.5694491,0,-6.7524,1.467449,8.411587,1,1,1,0.08937778,0.07545781,0.9931353,-0.003503541,-0.002885574,-0.02286959,54.04,2450
0,-5.979336,0.7044001,9.01321,-6.070773,0.6984161,9.114148,-6.060844,0.7395387,9.031207,0.6589347,0.5746986,-0.4853109,0,-0.151523,0.7333758,0.6627222,0,-0.7367807,0.3631549,-0.5703269,0,10.86675,-0.2540641,0.5504541,1,0.6589347,-0.1515229,-0.7367808,0,0.5746986,0.7333758,0.3631549,0,-0.4853108,0.6627222,-0.5703269,0,-6.747325,1.468088,8.412613,1,1,1,0.09204915,0.0726126,0.9931033,-0.003547105,-0.002314987,-0.02355137,54.06,2451
